time,open,high,low,close,tick_volume,spread,real_volume,hour,day_of_week,MA20,range,momentum,vol_avg,volume_spike,h1_prev_high,h1_prev_low,h1_bos_up,h1_bos_down,h1_ma20,h1_momentum,h1_trend,h1_bias,prev_high,prev_low,bos_up,bos_down,trend
2026-04-14 05:40:00,4759.19,4762.54,4757.92,4761.08,1355,15,0,5,1,4769.5005,4.619999999999891,1.9399999999996,715.55,True,4777.04,4767.04,0,1,4742.154,-13.930000000000293,bearish,bearish,4763.44,4758.3,0,1,bearish
2026-04-14 05:45:00,4761.07,4766.84,4759.23,4764.14,1042,15,0,5,1,4769.3035,7.610000000000582,3.0600000000004,746.9,True,4777.04,4767.04,0,1,4742.154,-13.930000000000293,bearish,bearish,4762.54,4757.92,1,0,bullish
2026-04-14 05:50:00,4764.14,4767.03,4761.58,4761.66,1097,15,0,5,1,4768.948,5.449999999999818,-2.480000000000473,787.0,True,4777.04,4767.04,0,1,4742.154,-13.930000000000293,bearish,bearish,4766.84,4759.23,1,0,bullish
2026-04-14 05:55:00,4761.64,4763.24,4759.78,4760.12,973,15,0,5,1,4768.2715,3.4600000000000364,-1.5399999999999636,811.05,True,4777.04,4767.04,0,1,4742.154,-13.930000000000293,bearish,bearish,4767.03,4761.58,0,1,bearish
2026-04-14 06:00:00,4760.25,4767.0,4760.18,4764.67,1188,15,0,6,1,4767.7745,6.819999999999709,4.550000000000182,836.05,True,4774.21,4757.92,1,0,4745.514,21.86999999999989,bullish,bullish,4763.24,4759.78,1,0,bullish
2026-04-14 06:05:00,4764.67,4769.88,4764.34,4769.61,1110,14,0,6,1,4767.456,5.539999999999964,4.9399999999996,857.2,True,4774.21,4757.92,1,0,4745.514,21.86999999999989,bullish,bullish,4767.0,4760.18,1,0,bullish
2026-04-14 06:10:00,4769.61,4769.62,4765.12,4765.95,697,15,0,6,1,4767.0445,4.5,-3.659999999999856,857.75,False,4774.21,4757.92,1,0,4745.514,21.86999999999989,bullish,bullish,4769.88,4764.34,0,0,neutral
2026-04-14 06:15:00,4765.95,4765.95,4763.45,4763.89,653,15,0,6,1,4766.578,2.5,-2.0599999999994907,861.65,False,4774.21,4757.92,1,0,4745.514,21.86999999999989,bullish,bullish,4769.62,4765.12,0,1,bearish
2026-04-14 06:20:00,4763.89,4767.41,4763.87,4764.99,590,15,0,6,1,4766.1545,3.539999999999964,1.0999999999994543,872.15,False,4774.21,4757.92,1,0,4745.514,21.86999999999989,bullish,bullish,4765.95,4763.45,1,0,bullish
2026-04-14 06:25:00,4764.99,4768.06,4764.49,4767.79,904,15,0,6,1,4765.7655,3.5700000000006185,2.800000000000182,888.95,True,4774.21,4757.92,1,0,4745.514,21.86999999999989,bullish,bullish,4767.41,4763.87,1,0,bullish
2026-04-14 06:30:00,4767.78,4768.08,4764.63,4765.17,872,15,0,6,1,4765.295,3.449999999999818,-2.619999999999891,909.9,False,4774.21,4757.92,1,0,4745.514,21.86999999999989,bullish,bullish,4768.06,4764.49,1,0,bullish
2026-04-14 06:35:00,4765.16,4767.91,4764.3,4767.67,807,15,0,6,1,4764.976000000001,3.6099999999996726,2.5,937.85,False,4774.21,4757.92,1,0,4745.514,21.86999999999989,bullish,bullish,4768.08,4764.63,0,1,bearish
2026-04-14 06:40:00,4767.67,4770.51,4767.27,4769.57,777,15,0,6,1,4764.8255,3.2399999999997817,1.899999999999636,951.3,False,4774.21,4757.92,1,0,4745.514,21.86999999999989,bullish,bullish,4767.91,4764.3,1,0,bullish
2026-04-14 06:45:00,4769.57,4774.33,4768.84,4772.99,1024,15,0,6,1,4765.107,5.489999999999782,3.4200000000000728,964.2,True,4774.21,4757.92,1,0,4745.514,21.86999999999989,bullish,bullish,4770.51,4767.27,1,0,bullish
