time,open,high,low,close,tick_volume,spread,real_volume,volume
2026-04-24 06:50:00,4675.26,4675.99,4673.88,4673.99,936,4,0,936
2026-04-24 06:55:00,4673.99,4673.99,4671.49,4672.16,1095,4,0,1095
2026-04-24 07:00:00,4672.14,4672.14,4667.46,4670.82,1516,4,0,1516
2026-04-24 07:05:00,4670.82,4674.38,4669.37,4674.06,1083,4,0,1083
2026-04-24 07:10:00,4674.06,4674.56,4669.93,4669.97,1084,4,0,1084
2026-04-24 07:15:00,4669.98,4670.73,4668.24,4669.19,1213,4,0,1213
2026-04-24 07:20:00,4669.19,4669.19,4661.43,4661.53,1844,4,0,1844
2026-04-24 07:25:00,4661.53,4662.72,4658.92,4659.52,1315,4,0,1315
2026-04-24 07:30:00,4659.52,4661.71,4657.74,4661.62,1374,4,0,1374
2026-04-24 07:35:00,4661.62,4666.12,4660.65,4665.95,1304,4,0,1304
2026-04-24 07:40:00,4665.95,4668.5,4664.72,4668.06,1125,4,0,1125
2026-04-24 07:45:00,4668.06,4676.86,4668.03,4675.99,1465,4,0,1465
2026-04-24 07:50:00,4675.99,4676.08,4673.51,4674.23,1006,4,0,1006
2026-04-24 07:55:00,4674.23,4675.75,4673.54,4674.49,949,4,0,949
2026-04-24 08:00:00,4674.51,4676.92,4673.5,4673.68,1083,4,0,1083
2026-04-24 08:05:00,4673.68,4674.34,4670.35,4670.81,1088,4,0,1088
2026-04-24 08:10:00,4670.78,4673.97,4669.67,4673.51,1045,4,0,1045
2026-04-24 08:15:00,4673.59,4675.87,4672.08,4674.82,1341,4,0,1341
2026-04-24 08:20:00,4674.82,4676.63,4673.29,4676.28,1281,4,0,1281
2026-04-24 08:25:00,4676.29,4678.6,4676.13,4676.49,1086,4,0,1086
2026-04-24 08:30:00,4676.49,4684.71,4676.46,4684.48,1844,4,0,1844
2026-04-24 08:35:00,4684.48,4685.14,4681.91,4684.58,1485,4,0,1485
2026-04-24 08:40:00,4684.58,4687.36,4681.29,4682.79,1596,4,0,1596
2026-04-24 08:45:00,4682.79,4684.35,4680.49,4680.89,1607,4,0,1607
2026-04-24 08:50:00,4680.89,4684.73,4680.47,4684.57,1320,4,0,1320
2026-04-24 08:55:00,4684.57,4686.92,4682.95,4686.41,1533,4,0,1533
2026-04-24 09:00:00,4686.41,4688.08,4683.12,4683.4,1620,4,0,1620
2026-04-24 09:05:00,4683.39,4685.1,4682.13,4683.21,1645,4,0,1645
2026-04-24 09:10:00,4683.21,4684.0,4680.92,4681.86,1557,4,0,1557
2026-04-24 09:15:00,4681.86,4682.08,4676.74,4678.2,1266,4,0,1266
2026-04-24 09:20:00,4678.2,4678.34,4673.54,4673.84,1540,4,0,1540
2026-04-24 09:25:00,4673.83,4674.35,4670.14,4671.47,1438,4,0,1438
2026-04-24 09:30:00,4671.47,4675.58,4671.47,4672.05,1517,4,0,1517
2026-04-24 09:35:00,4672.05,4675.13,4671.96,4675.13,1584,4,0,1584
2026-04-24 09:40:00,4675.13,4676.18,4669.92,4673.71,1337,4,0,1337
2026-04-24 09:45:00,4673.71,4673.93,4668.82,4669.66,1663,4,0,1663
2026-04-24 09:50:00,4669.71,4675.11,4666.76,4674.95,1583,4,0,1583
2026-04-24 09:55:00,4674.95,4676.51,4671.51,4671.83,1508,4,0,1508
2026-04-24 10:00:00,4671.83,4676.64,4671.04,4674.5,1329,4,0,1329
2026-04-24 10:05:00,4674.5,4678.68,4674.14,4677.57,1206,4,0,1206
2026-04-24 10:10:00,4677.57,4681.41,4676.86,4680.63,1099,4,0,1099
2026-04-24 10:15:00,4680.63,4682.32,4678.3,4681.41,1168,4,0,1168
2026-04-24 10:20:00,4681.41,4684.26,4680.0,4681.84,1265,4,0,1265
2026-04-24 10:25:00,4681.84,4684.88,4681.84,4684.46,1076,4,0,1076
2026-04-24 10:30:00,4684.46,4684.46,4682.32,4684.1,1132,4,0,1132
2026-04-24 10:35:00,4684.1,4685.74,4683.3,4683.46,1174,4,0,1174
2026-04-24 10:40:00,4683.46,4685.96,4682.92,4685.55,1140,4,0,1140
2026-04-24 10:45:00,4685.55,4691.95,4685.29,4691.06,1483,4,0,1483
2026-04-24 10:50:00,4691.03,4692.69,4690.45,4690.89,1085,4,0,1085
2026-04-24 10:55:00,4690.89,4695.32,4690.09,4694.53,1186,4,0,1186
2026-04-24 11:00:00,4694.53,4694.7,4686.6,4688.77,1692,4,0,1692
2026-04-24 11:05:00,4688.77,4690.06,4686.51,4688.05,1568,4,0,1568
2026-04-24 11:10:00,4688.05,4690.08,4686.75,4687.36,1277,4,0,1277
2026-04-24 11:15:00,4687.38,4694.15,4687.38,4693.43,1760,4,0,1760
2026-04-24 11:20:00,4693.43,4697.4,4691.84,4692.27,1436,4,0,1436
2026-04-24 11:25:00,4692.26,4692.26,4686.78,4687.92,1497,4,0,1497
2026-04-24 11:30:00,4687.92,4688.65,4685.73,4686.3,1301,4,0,1301
2026-04-24 11:35:00,4686.3,4689.12,4685.1,4688.29,1403,4,0,1403
2026-04-24 11:40:00,4688.27,4690.18,4687.43,4688.13,1157,4,0,1157
2026-04-24 11:45:00,4688.13,4693.26,4687.67,4691.91,1340,4,0,1340
2026-04-24 11:50:00,4691.91,4691.96,4689.55,4690.3,1149,4,0,1149
2026-04-24 11:55:00,4690.32,4691.24,4688.66,4690.83,1128,4,0,1128
2026-04-24 12:00:00,4690.83,4693.11,4689.56,4691.7,1650,4,0,1650
2026-04-24 12:05:00,4691.73,4694.16,4690.58,4691.39,1257,4,0,1257
2026-04-24 12:10:00,4691.39,4695.31,4691.1,4695.31,1197,4,0,1197
2026-04-24 12:15:00,4695.29,4696.75,4692.86,4694.69,1223,4,0,1223
2026-04-24 12:20:00,4694.69,4694.87,4686.23,4686.58,1496,4,0,1496
2026-04-24 12:25:00,4686.58,4687.57,4682.36,4683.36,1704,4,0,1704
